code,address
0101,165 WEBSTER STREET
0102,122 COTTAGE STREET
0103,209 SUMNER STREET
0104,112 PARIS STREET
0105,112 PARIS STREET
0106,86 WHITE STREET
0107,86 WHITE STREET
0108,86 WHITE STREET
0109,86 WHITE STREET
0110,86 WHITE STREET
0111,10 MOORE STREET
0112,61 BAYSWATER STREET
0113,195 LEYDEN STREET
0114,40 VALLAR ROAD
0115,270 MOUNT VERNON STREET
0201,60 HIGH STREET
0202,50 BUNKER HILL STREET
0203,60 HIGH STREET
0204,50 BUNKER HILL STREET
0205,255 MEDFORD STREET
0206,255 MEDFORD STREET
0207,382 MAIN STREET
0208,50 BUNKER HILL STREET
0301,145 COMMERCIAL STREET
0302,30 NORTH BENNETT STREET
0303,25 PARMENTER STREET
0304,130 ENDICOTT STREET
0305,65 MARTHA ROAD
0306,1 CITY HALL PLAZA
0307,1336 WASHINGTON STREET
0308,8 OAK STREET WEST
0309,68 WILLIAM CARDINAL O'CONNELL WAY
0310,CITY HALL PLAZA
0311,30 NORTH BENNETT STREET
0312,100 ARCH STREET
0313,100 ARCH STREET
0314,8 OAK STREET WEST
0315,120 SHAWMUT AVENUE
0316,1336 WASHINGTON STREET
0317,19 MYRTLE STREET
0401,539 TREMONT STREET
0402,700 BOYLSTON STREET
0403,130 DARTMOUTH STREET
0404,755 TREMONT STREET
0405,334 MASSACHUSETTS AVENUE
0406,18 BELVIDERE STREET
0407,100 NORWAY STREET
0408,333 MASSACHUSETTS AVENUE
0409,550 PARKER STREET
0410,2 AVENUE LOUIS PASTEUR
0411,20 MUSEUM ROAD
0412,20 MUSEUM ROAD
0501,539 TREMONT STREET
0502,105 JERSEY STREET
0503,24 BEACON STREET
0504,151 CAMBRIDGE STREET
0505,127 MOUNT VERNON STREET
0506,15 NEWBURY STREET
0507,645 BOYLSTON STREET
0508,700 BOYLSTON STREET
0509,18 BELVIDERE STREET
0510,91 BAY STATE ROAD
0511,127 MOUNT VERNON STREET
0512,1282 BOYLSTON STREET
0513,539 TREMONT STREET
0514,539 TREMONT STREET
0515,100 NORWAY STREET
0601,200 D STREET
0602,200 D STREET
0603,200 D STREET
0604,133 DORCHESTER STREET
0605,646 EAST BROADWAY
0606,120 L STREET
0607,646 EAST BROADWAY
0608,120 L STREET
0609,120 L STREET
0610,100 WEST SECOND STREET
0611,75 NORTHERN AVE
0612,75 NORTHERN AVE
0701,1663 COLUMBIA ROAD
0702,1663 COLUMBIA ROAD
0703,199 H STREET
0704,215 DORCHESTER STREET
0705,185 WEST NINTH STREET
0706,345 OLD COLONY AVENUE
0707,345 OLD COLONY AVENUE
0708,24 BELLFLOWER STREET
0709,24 BELLFLOWER STREET
0710,530 COLUMBIA ROAD
0801,1336 WASHINGTON STREET
