PRECINCT,TOTAL,WHITE,BLACK,HISPANIC,ASIAN,AI,NH,OTHER
0101,2340,1420,67,652,87,21,2,91
0102,2603,994,81,1303,104,2,1,118
0103,5111,2287,328,1804,479,16,2,195
0104,3019,1113,133,1494,173,11,0,95
0105,3539,1124,93,1958,158,19,1,186
0106,3301,949,95,2019,87,13,1,137
0107,3331,938,98,2027,132,18,4,114
0108,3826,906,180,2418,235,13,4,70
0109,2721,822,42,1664,67,3,0,123
0110,2496,560,79,1632,90,11,1,123
0111,2610,1140,69,1229,84,4,0,84
0112,2492,1154,80,1004,147,2,0,105
0113,3817,1610,163,1725,182,15,0,122
0114,1860,743,190,771,102,13,0,41
0115,0,0,0,0,0,0,0,0
0201,2922,2206,80,204,383,9,0,40
0202,2081,1756,49,77,178,0,0,21
0203,2360,2051,27,99,133,4,0,46
0204,2444,1945,53,239,118,15,2,72
0205,2265,2061,19,77,68,13,0,27
0206,1923,1708,19,67,93,18,1,17
0207,1760,1273,85,135,220,15,0,32
0208,3365,626,762,1177,660,25,3,112
0301,2439,2022,68,157,116,12,1,63
0302,2715,2395,34,89,146,14,2,35
0303,1803,1547,19,85,124,6,1,21
0304,1908,1660,30,92,90,7,0,29
0305,2255,1513,119,166,409,4,0,44
0306,1844,1300,108,157,225,19,0,35
0307,1886,1501,51,122,183,7,0,22
0308,5588,2235,298,482,2490,7,3,73
0309,2166,1288,63,143,618,8,2,44
0310,3284,2132,190,304,547,10,1,100
0311,2222,1919,31,124,98,17,2,31
0312,4461,2676,178,337,1185,18,5,62
0313,1713,1335,26,73,251,4,2,22
0314,3214,951,159,146,1911,1,1,45
0315,2297,1433,206,207,379,1,0,71
0316,2767,1732,189,279,504,8,0,55
0317,1803,1377,84,121,192,4,0,25
0401,1781,1395,67,144,119,6,1,49
0402,1964,1324,137,172,297,6,1,27
0403,2527,1372,510,239,308,10,0,88
0404,2360,1513,363,214,202,5,2,61
0405,2938,1694,244,197,718,7,7,71
0406,3390,2206,172,259,678,8,4,63
0407,3179,1571,257,332,895,7,2,115
0408,5832,3172,491,584,1474,18,24,69
0409,4863,2800,603,634,647,18,1,160
0410,6094,3954,447,548,1036,28,5,76
0411,1242,726,142,106,235,8,0,25
0412,2215,1132,233,266,491,19,0,74
0501,4141,1880,307,275,1638,5,0,36
0502,2711,1446,154,313,718,12,0,68
0503,2760,2313,38,130,219,10,0,50
0504,1808,1311,121,147,190,8,2,29
0505,1739,1526,35,69,82,3,0,24
0506,2500,1905,123,214,206,6,0,46
0507,2655,2168,39,136,257,11,0,44
0508,2857,2224,72,152,331,9,1,68
0509,2753,2196,48,152,299,10,0,48
0510,5725,3333,343,627,1319,22,3,78
0511,1226,994,26,70,97,3,1,35
0512,2774,1314,82,249,1052,4,0,73
0513,2110,1441,69,109,453,3,1,34
0514,1593,1209,41,101,209,3,1,29
